epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7468,1.15442,1.60206,1.18315,0,0,0,0,0,0,0,3.88889e-05,3.88889e-05,3.88889e-05
2,198.034,1.13448,0.9638,1.16249,0,0,0,0,0,0,0,7.59632e-05,7.59632e-05,7.59632e-05
3,322.354,1.14208,0.92915,1.1555,0,0,0,0,0,0,0,0.00011042,0.00011042,0.00011042
4,87.5384,1.05624,0.87993,1.14767,0,0,0,0,0,0,0,0.000107219,0.000107219,0.000107219
5,196.487,1.0216,0.80348,1.10615,0,0,0,0,0,0,0,0.000103292,0.000103292,0.000103292
6,312.396,1.02167,0.79907,1.10399,0,0,0,0,0,0,0,9.9365e-05,9.9365e-05,9.9365e-05
7,439.132,1.11593,0.87162,1.14036,0,0,0,0,0,0,0,9.5438e-05,9.5438e-05,9.5438e-05
8,578.732,1.09709,0.858,1.13837,0,0,0,0,0,0,0,9.1511e-05,9.1511e-05,9.1511e-05
9,723.741,1.06288,0.83917,1.12329,0,0,0,0,0,0,0,8.7584e-05,8.7584e-05,8.7584e-05
10,903.433,1.09106,0.83772,1.12999,0,0,0,0,0,0,0,8.3657e-05,8.3657e-05,8.3657e-05
11,1064.57,1.09044,0.83489,1.1374,0,0,0,0,0,0,0,7.973e-05,7.973e-05,7.973e-05
12,1224.47,1.02908,0.81135,1.10525,0,0,0,0,0,0,0,7.5803e-05,7.5803e-05,7.5803e-05
13,1378.1,1.05597,0.80271,1.12586,0,0,0,0,0,0,0,7.1876e-05,7.1876e-05,7.1876e-05
14,1545.44,1.04149,0.77406,1.1019,0,0,0,0,0,0,0,6.7949e-05,6.7949e-05,6.7949e-05
15,92.0953,0.87633,0.69029,1.10005,0,0,0,0,0,0,0,6.4022e-05,6.4022e-05,6.4022e-05
16,211.059,0.83904,0.60006,1.0448,0,0,0,0,0,0,0,6.0095e-05,6.0095e-05,6.0095e-05
17,339.23,0.85152,0.62242,1.02611,0,0,0,0,0,0,0,5.6168e-05,5.6168e-05,5.6168e-05
18,468.313,0.93937,0.71614,1.06375,0,0,0,0,0,0,0,5.2241e-05,5.2241e-05,5.2241e-05
19,608.186,0.94644,0.73838,1.06885,0,0,0,0,0,0,0,4.8314e-05,4.8314e-05,4.8314e-05
20,767.4,0.93004,0.73539,1.06484,0,0,0,0,0,0,0,4.4387e-05,4.4387e-05,4.4387e-05
21,941.436,0.98286,0.70409,1.05071,0,0,0,0,0,0,0,4.046e-05,4.046e-05,4.046e-05
22,1099.31,0.90193,0.64916,1.02705,0,0,0,0,0,0,0,3.6533e-05,3.6533e-05,3.6533e-05
23,1246.32,0.93111,0.66175,1.04407,0,0,0,0,0,0,0,3.2606e-05,3.2606e-05,3.2606e-05
24,1403.95,0.9008,0.63553,1.02513,0,0,0,0,0,0,0,2.8679e-05,2.8679e-05,2.8679e-05
25,1582.55,0.89315,0.62321,1.02689,0,0,0,0,0,0,0,2.4752e-05,2.4752e-05,2.4752e-05
26,1748.04,0.91284,0.64495,1.02107,0,0,0,0,0,0,0,2.0825e-05,2.0825e-05,2.0825e-05
27,87.4797,0.86709,0.65456,1.01214,0,0,0,0,0,0,0,1.6898e-05,1.6898e-05,1.6898e-05
28,265.577,0.81491,0.59446,0.98803,0,0,0,0,0,0,0,1.2971e-05,1.2971e-05,1.2971e-05
29,78.9242,0.78168,0.5716,0.97527,0,0,0,0,0,0,0,9.044e-06,9.044e-06,9.044e-06
30,168.246,0.75704,0.55874,0.96613,0.82295,0.36828,0.41431,0.28296,1.01484,0.72263,1.11983,5.117e-06,5.117e-06,5.117e-06
