epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.8625,1.15442,1.60206,1.18315,0,0,0,0,0,0,0,3.88889e-05,3.88889e-05,3.88889e-05
2,210.593,1.13359,0.96449,1.16259,0,0,0,0,0,0,0,7.77779e-05,7.77779e-05,7.77779e-05
3,336.298,1.14471,0.93446,1.15909,0,0,0,0,0,0,0,0.000115881,0.000115881,0.000115881
4,456.892,1.1354,0.92043,1.14683,0,0,0,0,0,0,0,0.000115466,0.000115466,0.000115466
5,587.093,1.12543,0.90731,1.14475,0,0,0,0,0,0,0,0.000114288,0.000114288,0.000114288
6,717.853,1.08823,0.88194,1.13117,0,0,0,0,0,0,0,0.00011311,0.00011311,0.00011311
7,871.885,1.11331,0.87298,1.14196,0,0,0,0,0,0,0,0.000111931,0.000111931,0.000111931
8,87.0666,1.04617,0.83564,1.10608,0,0,0,0,0,0,0,0.000110753,0.000110753,0.000110753
9,188.497,0.98924,0.76341,1.08177,0,0,0,0,0,0,0,0.000109575,0.000109575,0.000109575
10,335.883,0.99789,0.77103,1.08213,0,0,0,0,0,0,0,0.000108397,0.000108397,0.000108397
11,82.1532,0.95941,0.79985,1.07206,0,0,0,0,0,0,0,0.000107219,0.000107219,0.000107219
12,181.256,0.9186,0.70312,1.04686,0,0,0,0,0,0,0,0.000106041,0.000106041,0.000106041
13,294.171,0.90651,0.70838,1.05165,0,0,0,0,0,0,0,0.000104863,0.000104863,0.000104863
14,411.492,1.01472,0.76501,1.09148,0,0,0,0,0,0,0,0.000103685,0.000103685,0.000103685
15,562.742,0.98853,0.75326,1.08311,0,0,0,0,0,0,0,0.000102507,0.000102507,0.000102507
16,707.8,0.95685,0.73857,1.07458,0,0,0,0,0,0,0,0.000101329,0.000101329,0.000101329
17,90.9041,0.77986,0.59181,1.04419,0,0,0,0,0,0,0,0.00010015,0.00010015,0.00010015
18,202.029,0.74712,0.50606,0.99222,0,0,0,0,0,0,0,9.89723e-05,9.89723e-05,9.89723e-05
19,89.7403,1.0174,0.79244,1.16721,0,0,0,0,0,0,0,9.77942e-05,9.77942e-05,9.77942e-05
20,204.274,0.9861,0.69917,1.08185,0,0,0,0,0,0,0,9.66161e-05,9.66161e-05,9.66161e-05
21,88.7031,0.90818,0.83165,1.36729,0,0,0,0,0,0,0,9.5438e-05,9.5438e-05,9.5438e-05
22,208.596,0.89557,0.6184,1.15022,0,0,0,0,0,0,0,9.42599e-05,9.42599e-05,9.42599e-05
23,342.021,1.16445,0.76815,1.25414,0,0,0,0,0,0,0,9.30818e-05,9.30818e-05,9.30818e-05
24,468.89,1.21218,0.77097,1.26067,0,0,0,0,0,0,0,9.19037e-05,9.19037e-05,9.19037e-05
25,604.408,1.22287,0.75029,1.28196,0,0,0,0,0,0,0,9.07256e-05,9.07256e-05,9.07256e-05
26,760.642,1.15861,0.71055,1.25449,0,0,0,0,0,0,0,8.95475e-05,8.95475e-05,8.95475e-05
27,90.8191,1.11364,0.70213,1.2553,0,0,0,0,0,0,0,8.83694e-05,8.83694e-05,8.83694e-05
28,197.224,1.02966,0.63911,1.19398,0,0,0,0,0,0,0,8.71913e-05,8.71913e-05,8.71913e-05
29,315.528,1.07976,0.67453,1.24852,0,0,0,0,0,0,0,8.60132e-05,8.60132e-05,8.60132e-05
30,433.224,1.07814,0.67103,1.23511,0,0,0,0,0,0,0,8.48351e-05,8.48351e-05,8.48351e-05
31,564.531,1.07758,0.68167,1.25435,0,0,0,0,0,0,0,8.3657e-05,8.3657e-05,8.3657e-05
32,713.767,1.03222,0.65574,1.21849,0,0,0,0,0,0,0,8.24789e-05,8.24789e-05,8.24789e-05
33,877.342,1.12755,0.71877,1.26367,0,0,0,0,0,0,0,8.13008e-05,8.13008e-05,8.13008e-05
34,87.6706,0.96807,0.62524,1.20665,0,0,0,0,0,0,0,8.01227e-05,8.01227e-05,8.01227e-05
35,216.744,0.9243,0.60908,1.16827,0,0,0,0,0,0,0,7.89446e-05,7.89446e-05,7.89446e-05
36,357.042,0.99445,0.65224,1.23331,0,0,0,0,0,0,0,7.77665e-05,7.77665e-05,7.77665e-05
37,87.3555,0.90692,0.59895,1.17224,0,0,0,0,0,0,0,7.65884e-05,7.65884e-05,7.65884e-05
38,190.326,0.86165,0.58041,1.1375,0,0,0,0,0,0,0,7.54103e-05,7.54103e-05,7.54103e-05
39,307.215,0.92742,0.61768,1.19004,0,0,0,0,0,0,0,7.42322e-05,7.42322e-05,7.42322e-05
40,419.233,0.99201,0.64143,1.19802,0,0,0,0,0,0,0,7.30541e-05,7.30541e-05,7.30541e-05
41,541,0.98083,0.64999,1.19863,0,0,0,0,0,0,0,7.1876e-05,7.1876e-05,7.1876e-05
42,682.763,0.93954,0.6229,1.17545,0,0,0,0,0,0,0,7.06979e-05,7.06979e-05,7.06979e-05
